Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,neg,FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis theyfeelpain SemST,2,"['theyfeelpain', 'SemST']",fyi unborn babi diagnos disabl womb feel pain much babi without diagnosi theyfeelpain semst
"@BuhayIpaglaban @blueskies366 Remember that there is no ""murder"" involed in #abortion. I am #ProContraception for LESS #abortion. #SemST",Legalization of Abortion,AGAINST,EO,neg,"Remember that there is no ""murder"" involed in abortion. I am ProContraception for LESS abortion. SemST",4,"['abortion', 'ProContraception', 'abortion', 'SemST']",rememb murder invol abort i procontracept less abort semst
These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,neg,These dems' lack of compassion for unborn babies who receive prenatal diagnoses is appalling theyfeelpain SemST,2,"['theyfeelpain', 'SemST']",these dem lack compass unborn babi receiv prenat diagnos appal theyfeelpain semst
There should be no law or funding which justifies the murder of innocent life.   #CCOT #pjnet #SemST,Legalization of Abortion,AGAINST,EO,neg,There should be no law or funding which justifies the murder of innocent life. CCOT pjnet SemST,3,"['CCOT', 'pjnet', 'SemST']",there law fund justifi murder innoc life ccot pjnet semst
"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",Legalization of Abortion,AGAINST,EO,neg,"Meanwhile, wants to waste your money to kill innocent children in the womb. dangerous hypocrite noChoice SemST",4,"['dangerous', 'hypocrite', 'noChoice', 'SemST']",meanwhil want wast money kill innoc children womb danger hypocrit nochoic semst
"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live.   #Baby #murder #RightToLife #unborn #wo... #SemST",Legalization of Abortion,AGAINST,EO,neg,"AmandaKayHowell: Dear to who it may concern;""YOU stand up for my right to live. Baby murder RightToLife unborn wo... SemST",6,"['Baby', 'murder', 'RightToLife', 'unborn', 'wo', 'SemST']",amandakayhowel dear may concern you stand right live babi murder righttolif unborn wo semst
@BuhayIpaglaban @_msthirdward @laurawrpie Who defends murder here? I haven't heard anyone defending the killing of human beings. #SemST,Legalization of Abortion,AGAINST,EO,neg,Who defends murder here? I haven't heard anyone defending the killing of human beings. SemST,1,['SemST'],who defend murder i heard anyon defend kill human be semst
Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,Legalization of Abortion,AGAINST,WO,other,Does the Gay Community support Abortion? ProLifeYouth LGBTPrideMonth SemST,3,"['ProLifeYouth', 'LGBTPrideMonth', 'SemST']",doe gay communiti support abort prolifeyouth lgbtpridemonth semst
There's no place for selfishness when you talk about a human life. Everyone matters! #quotes #truelovewaits #parenting #humanrights #SemST,Legalization of Abortion,AGAINST,WO,pos,There's no place for selfishness when you talk about a human life. Everyone matters! quotes truelovewaits parenting humanrights SemST,5,"['quotes', 'truelovewaits', 'parenting', 'humanrights', 'SemST']",there place selfish talk human life everyon matter quot truelovewait parent humanright semst
Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew @TheKateMulgrew (Red on #OITNB ) #SemST,Legalization of Abortion,AGAINST,EO,other,Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew (Red on OITNB ) SemST,2,"['OITNB', 'SemST']",life sacr level abort not comput philosophi kate mulgrew red oitnb semst
"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",Legalization of Abortion,AGAINST,EO,neg,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! SemST",1,['SemST'],the idea fetus human outrag i mean els would a dog a dragon the unborn human be semst
