Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,Legalization of Abortion,AGAINST,EO,neg,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? SemST,1,['SemST'],it undeni concept may also birth soul unto life whi mess semst
Al Robertson's mom #DuckDynasty  chose life as an unwed 16 year old. #SemST,Legalization of Abortion,AGAINST,EO,other,Al Robertson's mom DuckDynasty chose life as an unwed 16 year old. SemST,2,"['DuckDynasty', 'SemST']",al robertson mom duckdynasti chose life unw year old semst
you can't say you support women's rights but be against abortion #SemST,Legalization of Abortion,AGAINST,EO,neg,you can't say you support women's rights but be against abortion SemST,1,['SemST'],say support women right abort semst
"RT @freesafelegal: ""Why does the government not hold a referendum on abortion?"" asks UN CESCR Mbr Pillay #UNIRL #SemST",Legalization of Abortion,AGAINST,WO,other,"RT ""Why does the government not hold a referendum on abortion?"" asks UN CESCR Mbr Pillay UNIRL SemST",2,"['UNIRL', 'SemST']",rt whi govern not hold referendum abort ask un cescr mbr pillay unirl semst
A prochoice advocate but circumcise ur baby? Fucking hypocrite! #circumcision #humanrights #SemST,Legalization of Abortion,AGAINST,WO,neg,A prochoice advocate but circumcise ur baby? Fucking hypocrite! circumcision humanrights SemST,3,"['circumcision', 'humanrights', 'SemST']",a prochoic advoc circumcis ur babi fuck hypocrit circumcis humanright semst
"I'm against abortion, gay marriage, AND Donald Trump for President. #gaymarriage #DonaldTrump #SemST",Legalization of Abortion,AGAINST,EO,neg,"I'm against abortion, gay marriage, AND Donald Trump for President. gaymarriage DonaldTrump SemST",3,"['gaymarriage', 'DonaldTrump', 'SemST']",i abort gay marriag and donald trump presid gaymarriag donaldtrump semst
Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,Legalization of Abortion,AGAINST,WO,neg,Reading law cases on abortion rulings from the past 100 years is exhausting! research workhard work publichealth SemST,5,"['research', 'workhard', 'work', 'publichealth', 'SemST']",read law case abort rule past year exhaust research workhard work publichealth semst
@Mediaite @CNN where is #SilencedDiscourse for @TheDemocrats questions on #Divisions #SchoolChoice #Taxes #DoubleStandard #Biased #SemST,Legalization of Abortion,AGAINST,WO,neg,where is SilencedDiscourse for questions on Divisions SchoolChoice Taxes DoubleStandard Biased SemST,7,"['SilencedDiscourse', 'Divisions', 'SchoolChoice', 'Taxes', 'DoubleStandard', 'Biased', 'SemST']",silenceddiscours question divis schoolchoic tax doublestandard bias semst
@MichestBlogSpot: Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,Legalization of Abortion,NONE,NO,other,Postinor is popularly used for? MrChocho_BabyOKoko SemST,2,"['MrChocho_BabyOKoko', 'SemST']",postinor popular use mrchocho babyokoko semst
"@_msthirdward @BuhayIpaglaban @blueskies366 It's never been about ""life"" has it? ""#Prolife"" are OK with women dying. #SemST",Legalization of Abortion,AGAINST,EO,neg,"It's never been about ""life"" has it? ""Prolife"" are OK with women dying. SemST",2,"['Prolife', 'SemST']",it never life prolif ok women die semst
@RickSantorum: I don't *believe* life begins at conception--I *know* life begins at conception. #nrlc2015 #SemST,Legalization of Abortion,AGAINST,EO,pos,I don't *believe* life begins at conception--I *know* life begins at conception. nrlc2015 SemST,2,"['nrlc2015', 'SemST']",i believ life begin concept i know life begin concept nrlc semst
