Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
@FaceTheNation @nytimes where is #SilencedDiscourse for @TheDemocrats #Divisions on #SchoolChoice #Taxes #DoubleStandard #Biased #SemST,Legalization of Abortion,AGAINST,EO,neg,where is SilencedDiscourse for Divisions on SchoolChoice Taxes DoubleStandard Biased SemST,7,"['SilencedDiscourse', 'Divisions', 'SchoolChoice', 'Taxes', 'DoubleStandard', 'Biased', 'SemST']",silenceddiscours divis schoolchoic tax doublestandard bias semst
.@JohnTory since when did Toronto become a weak city? Bullied by stone-age cab companies that block traffic illegally. #TO4Uber #SemST,Legalization of Abortion,NONE,WO,neg,.@JohnTory since when did Toronto become a weak city? Bullied by stone-age cab companies that block traffic illegally. TO4Uber SemST,2,"['TO4Uber', 'SemST']",johntori sinc toronto becom weak citi bulli stone age cab compani block traffic illeg to uber semst
So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,Legalization of Abortion,FAVOR,EO,neg,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body. SemST,1,['SemST'],so anti choic law tell women incap make decis involv bodi semst
"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",Legalization of Abortion,AGAINST,WO,neg,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" GayMarriage Drugs WakeUpAmerica SemST",4,"['GayMarriage', 'Drugs', 'WakeUpAmerica', 'SemST']",in mani way christian right america alreadi are great satan gaymarriag drug wakeupamerica semst
Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti choice laws only effect women. People don't care about things that don't effect men SemST,1,['SemST'],anti choic law effect women peopl care thing effect men semst
"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. #GodWins #SemST",Legalization of Abortion,AGAINST,EO,neg,"DEAR PROABORTS: Using BAD grammar and FILTHY language and INTIMIDATION makes you look ignorant, inept and desperate. GodWins SemST",2,"['GodWins', 'SemST']",dear proabort use bad grammar filthi languag intimid make look ignor inept desper godwin semst
@JaxLeSigh @ProWomanChoice u dont know using #NaturalFamilyPlanning will not have the same effect as birth spacing? #SemST,Legalization of Abortion,AGAINST,EO,neg,u dont know using NaturalFamilyPlanning will not have the same effect as birth spacing? SemST,2,"['NaturalFamilyPlanning', 'SemST']",u dont know use naturalfamilyplan not effect birth space semst
@Stephen_C_Ward  What are they doing with acid signs oh yeah their all tripping #lsd  #SemST,Legalization of Abortion,AGAINST,WO,neg,What are they doing with acid signs oh yeah their all tripping lsd SemST,2,"['lsd', 'SemST']",what acid sign oh yeah trip lsd semst
We must love our neighbor as being made in the image of God and as an object of His love. ~ Saint Vincent de Paul #SemST,Legalization of Abortion,AGAINST,WO,pos,We must love our neighbor as being made in the image of God and as an object of His love. ~ Saint Vincent de Paul SemST,1,['SemST'],we must love neighbor made imag god object his love saint vincent de paul semst
@gaz_dance I'm good like this. I've always been #SemST,Legalization of Abortion,NONE,WO,pos,I'm good like this. I've always been SemST,1,['SemST'],i good like i alway semst
