Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew @TheKateMulgrew (Red on #OITNB ) #SemST,Legalization of Abortion,AGAINST,EO,other,Life is sacred on all levels. Abortion does not compute with my philosophy. Kate Mulgrew (Red on OITNB ) SemST,2,"['OITNB', 'SemST']",life sacr level abort not comput philosophi kate mulgrew red oitnb semst
I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST,Legalization of Abortion,AGAINST,EO,pos,I hope you all either enjoy the rugby or enjoy not enjoying the rugby SemST,1,['SemST'],i hope either enjoy rugbi enjoy not enjoy rugbi semst
Anti choice laws are sexist because they only effect women*.   #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti choice laws are sexist because they only effect women*. SemST,1,['SemST'],anti choic law sexist effect women semst
FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis #theyfeelpain #SemST,Legalization of Abortion,AGAINST,EO,neg,FYI: Unborn babies diagnosed with a disability in the womb can feel pain just as much as a baby without a diagnosis theyfeelpain SemST,2,"['theyfeelpain', 'SemST']",fyi unborn babi diagnos disabl womb feel pain much babi without diagnosi theyfeelpain semst
Yes. Antis just don't make sense.  #WarOnWomen #SemST,Legalization of Abortion,NONE,WO,neg,Yes. Antis just don't make sense. WarOnWomen SemST,2,"['WarOnWomen', 'SemST']",yes anti make sens waronwomen semst
This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored #SemST,Legalization of Abortion,FAVOR,EO,neg,This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored SemST,1,['SemST'],this reason sexist cover women birth control ani issu primarili effect women ignor semst
Why are Tumblr feminists so territorial? Pro-lifers can't even voice their opinions without being attacked. #ProLifeProblems #SemST,Legalization of Abortion,AGAINST,EO,neg,Why are Tumblr feminists so territorial? Pro-lifers can't even voice their opinions without being attacked. ProLifeProblems SemST,2,"['ProLifeProblems', 'SemST']",whi tumblr feminist territori pro lifer even voic opinion without attack prolifeproblem semst
@LibertyBleeds every one in Congress should attend an abortion procedure especially partial birth that they VOTE FOR #ccot #tcot #SemST,Legalization of Abortion,AGAINST,EO,neg,every one in Congress should attend an abortion procedure especially partial birth that they VOTE FOR ccot tcot SemST,3,"['ccot', 'tcot', 'SemST']",everi one congress attend abort procedur especi partial birth vote for ccot tcot semst
@denisemourges @RepThomasMassie I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST,Legalization of Abortion,AGAINST,WO,pos,I know! I'm the only perfect :-) candidate. ProCivilLiberties ProBusiness ProWorker ProPeace SemST,5,"['ProCivilLiberties', 'ProBusiness', 'ProWorker', 'ProPeace', 'SemST']",i know i perfect candid procivilliberti probusi prowork propeac semst
Every year I see #rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,Every year I see rally4life ads & think 'that sounds great!' Stop tricking me into thinking you want sth positive! repealthe8th SemST,3,"['rally4life', 'repealthe8th', 'SemST']",everi year i see ralli life ad think sound great stop trick think want sth posit repealth th semst
